yGraph
Time (Seconds),y_Estimate (Meters),y_Real (Meters),Data (Meters)
17.299999,0.104975,0.135015,0.104975
17.349998,0.135015,0.163525,0.135015
17.400000,0.163525,0.190582,0.163525
17.449999,0.190582,0.215598,0.190582
17.500000,0.215598,0.238550,0.215598
17.549999,0.238550,0.259168,0.238550
17.599998,0.259168,0.277514,0.259168
17.650000,0.277514,0.293564,0.277514
17.699999,0.293564,0.306632,0.293564
17.750000,0.306632,0.316938,0.306632
17.799999,0.316938,0.325757,0.316938
17.849998,0.325758,0.330601,0.325758
17.900000,0.330601,0.331804,0.330601
17.949999,0.331804,0.329112,0.331804
18.000000,0.329112,0.326778,0.329112
18.049999,0.326778,0.320755,0.326778
18.099998,0.320755,0.312180,0.320755
18.150000,0.312180,0.299155,0.312180
18.199999,0.299155,0.285004,0.299155
18.250000,0.285004,0.269045,0.285004
18.299999,0.269045,0.250779,0.269045
18.349998,0.250779,0.231131,0.250779
18.400000,0.231132,0.208677,0.231132
18.449999,0.208677,0.185405,0.208677
18.500000,0.185405,0.160601,0.185405
18.549999,0.160601,0.133872,0.160601
18.599998,0.133872,0.106524,0.133871
18.650000,0.106524,0.078369,0.106524
18.699999,0.078369,0.049746,0.078369
18.750000,0.049746,0.020975,0.049746
18.799999,0.020975,-0.007306,0.020975
18.849998,-0.007306,-0.035058,-0.007306
18.900000,-0.035058,-0.062105,-0.035058
18.949999,-0.062105,-0.088228,-0.062105
19.000000,-0.088228,-0.113512,-0.088228
19.049999,-0.113512,-0.136912,-0.113512
19.099998,-0.136912,-0.160247,-0.136912
19.150000,-0.160248,-0.182234,-0.160248
19.199999,-0.182235,-0.201143,-0.182235
19.250000,-0.201143,-0.219388,-0.201143
19.299999,-0.219388,-0.234800,-0.219388
19.349998,-0.234800,-0.248521,-0.234800
19.400000,-0.248521,-0.259091,-0.248521
19.449999,-0.259091,-0.267614,-0.259091
19.500000,-0.267614,-0.273968,-0.267614
19.549999,-0.273968,-0.277770,-0.273968
19.599998,-0.277770,-0.278903,-0.277770
19.650000,-0.278903,-0.278060,-0.278903
19.699999,-0.278060,-0.274609,-0.278060
19.750000,-0.274609,-0.270114,-0.274609
19.799999,-0.270114,-0.263321,-0.270114
19.849998,-0.263321,-0.253445,-0.263321
19.900000,-0.253445,-0.240728,-0.253445
19.949999,-0.240728,-0.228008,-0.240728
20.000000,-0.228008,-0.212035,-0.228008
